cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2011,11922,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2012,12299,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2013,12925,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2014,13143,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2015,13342,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2016,14248,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2017,15120,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2018,15322,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2019,15754,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2020,20995,Defunciones
11,Guanajuato,0,Estatal,1002000032,Defunciones generales mujeres,2021,23697,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1994,15,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1995,12,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1996,5,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1997,7,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1998,5,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,1999,2,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2000,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2001,7,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2002,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2003,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2004,11,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2005,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2006,9,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2007,7,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2008,8,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2009,3,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2010,10,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2011,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2012,12,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2013,6,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2014,5,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2015,4,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2016,18,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2017,0,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2018,8,Defunciones
11,Guanajuato,0,Estatal,1002000033,Defunciones generales de sexo no especificado,2019,7,Defunciones
