,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
10491,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2005,3.0,Defunciones
10492,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2006,4.0,Defunciones
10493,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2007,0.0,Defunciones
10494,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2008,0.0,Defunciones
10495,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2009,0.0,Defunciones
10496,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2010,2.0,Defunciones
10497,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2011,2.0,Defunciones
10498,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2012,4.0,Defunciones
10499,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2013,1.0,Defunciones
10500,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2014,4.0,Defunciones
10501,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2015,5.0,Defunciones
10502,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2016,0.0,Defunciones
10503,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2017,4.0,Defunciones
10504,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2018,34.0,Defunciones
10505,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2019,4.0,Defunciones
10506,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2020,2.0,Defunciones
10507,11,Guanajuato,996,No especificado,1002000032,Defunciones generales mujeres,2021,0.0,Defunciones
10508,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1994,0.0,Defunciones
10509,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1995,0.0,Defunciones
10510,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1996,0.0,Defunciones
10511,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1997,0.0,Defunciones
10512,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1998,0.0,Defunciones
10513,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,1999,0.0,Defunciones
10514,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2000,0.0,Defunciones
10515,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2001,0.0,Defunciones
10516,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2002,0.0,Defunciones
10517,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2003,0.0,Defunciones
10518,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2004,0.0,Defunciones
10519,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2005,0.0,Defunciones
10520,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2006,0.0,Defunciones
10521,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2007,0.0,Defunciones
10522,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2008,0.0,Defunciones
10523,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2009,1.0,Defunciones
10524,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2010,0.0,Defunciones
10525,11,Guanajuato,996,No especificado,1002000033,Defunciones generales de sexo no especificado,2011,0.0,Defunciones
