,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,year,unidad_medida,valor
226,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,1996,Nacimientos,1194.0
227,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,1997,Nacimientos,1132.0
228,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,1998,Nacimientos,1146.0
229,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,1999,Nacimientos,1137.0
230,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2000,Nacimientos,1070.0
231,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2001,Nacimientos,1096.0
232,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2002,Nacimientos,1019.0
233,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2003,Nacimientos,1109.0
234,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2004,Nacimientos,1075.0
235,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2005,Nacimientos,809.0
236,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2006,Nacimientos,633.0
237,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2007,Nacimientos,724.0
238,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2008,Nacimientos,724.0
239,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2009,Nacimientos,997.0
240,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2010,Nacimientos,986.0
241,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2011,Nacimientos,982.0
242,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2012,Nacimientos,974.0
243,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2013,Nacimientos,852.0
244,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2014,Nacimientos,739.0
245,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2015,Nacimientos,666.0
246,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2016,Nacimientos,912.0
247,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2017,Nacimientos,881.0
248,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2018,Nacimientos,898.0
249,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2019,Nacimientos,836.0
250,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2020,Nacimientos,726.0
251,11,Guanajuato,1,Abasolo,1002000028,Nacimientos mujeres,2021,Nacimientos,806.0
252,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1994,Nacimientos,0.0
253,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1995,Nacimientos,1.0
254,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1996,Nacimientos,0.0
255,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1997,Nacimientos,0.0
256,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1998,Nacimientos,1.0
257,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,1999,Nacimientos,0.0
258,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2000,Nacimientos,0.0
259,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2001,Nacimientos,0.0
260,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2002,Nacimientos,0.0
261,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2003,Nacimientos,0.0
262,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2004,Nacimientos,0.0
263,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2005,Nacimientos,0.0
264,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2006,Nacimientos,17.0
265,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2007,Nacimientos,6.0
266,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2008,Nacimientos,1.0
267,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2009,Nacimientos,0.0
268,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2010,Nacimientos,1.0
269,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2011,Nacimientos,0.0
270,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2012,Nacimientos,0.0
271,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2013,Nacimientos,0.0
272,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2014,Nacimientos,0.0
273,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2015,Nacimientos,0.0
274,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2016,Nacimientos,0.0
275,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2017,Nacimientos,0.0
276,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2018,Nacimientos,0.0
277,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2019,Nacimientos,0.0
278,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2020,Nacimientos,0.0
279,11,Guanajuato,1,Abasolo,1002000029,Nacimientos de sexo no especificado,2021,Nacimientos,0.0
280,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1994,Nacimientos,3189.0
281,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1995,Nacimientos,3087.0
282,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1996,Nacimientos,3120.0
283,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1997,Nacimientos,3012.0
284,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1998,Nacimientos,2898.0
285,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,1999,Nacimientos,2834.0
286,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2000,Nacimientos,2741.0
287,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2001,Nacimientos,2662.0
288,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2002,Nacimientos,2276.0
289,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2003,Nacimientos,2370.0
290,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2004,Nacimientos,2457.0
291,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2005,Nacimientos,2833.0
292,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2006,Nacimientos,2613.0
293,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2007,Nacimientos,2895.0
294,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2008,Nacimientos,2726.0
295,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2009,Nacimientos,2326.0
296,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2010,Nacimientos,2319.0
297,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2011,Nacimientos,2330.0
298,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2012,Nacimientos,2157.0
299,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2013,Nacimientos,2321.0
300,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2014,Nacimientos,2483.0
301,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2015,Nacimientos,2354.0
302,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2016,Nacimientos,1967.0
303,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2017,Nacimientos,1968.0
304,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2018,Nacimientos,1879.0
305,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2019,Nacimientos,1815.0
306,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2020,Nacimientos,1463.0
307,11,Guanajuato,2,Acámbaro,1002000026,Nacimientos,2021,Nacimientos,1636.0
308,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1994,Nacimientos,1634.0
309,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1995,Nacimientos,1539.0
310,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1996,Nacimientos,1567.0
311,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1997,Nacimientos,1522.0
312,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1998,Nacimientos,1478.0
313,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,1999,Nacimientos,1437.0
314,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2000,Nacimientos,1348.0
315,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2001,Nacimientos,1386.0
316,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2002,Nacimientos,1155.0
317,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2003,Nacimientos,1143.0
318,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2004,Nacimientos,1238.0
319,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2005,Nacimientos,1469.0
320,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2006,Nacimientos,1326.0
321,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2007,Nacimientos,1485.0
322,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2008,Nacimientos,1360.0
323,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2009,Nacimientos,1185.0
324,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2010,Nacimientos,1137.0
325,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2011,Nacimientos,1180.0
326,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2012,Nacimientos,1091.0
327,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2013,Nacimientos,1151.0
328,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2014,Nacimientos,1269.0
329,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2015,Nacimientos,1187.0
330,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2016,Nacimientos,997.0
331,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2017,Nacimientos,997.0
332,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2018,Nacimientos,924.0
333,11,Guanajuato,2,Acámbaro,1002000027,Nacimientos hombres,2019,Nacimientos,937.0
